Reference,Ele principle,Ele Principle num,Sensing,Sensing num,Print,Print num,M0,M,Delta Er,Rel Sensitivity,Directly Printed,Mat,Mat num,Custom mat,Print concat,Sens concat,DOI
A. Wolstrup et al. 2023,Piezoresistive,1,Surface,3,FDM,1,2,5,-0.096153846,0.035460993,b,Carbon,1,a,FDM-b,Surface-a,10.1016/j.addlet.2023.100178
G. Wolterink et al. 2019,Piezoresistive,1,Material,1,FDM,1,0.5,10.5,0.116666667,0.011666667,b,Carbon,1,a,FDM-b,Material-a,10.1109/SENSORS43011.2019.8956757
J. Xu et al. 2024,Piezoresistive,1,Material,1,FDM,1,0,13,0.013,0.001,b,Carbon,1,a,FDM-b,Material-a,10.1109/ACCESS.2024.3390932
Q. Ji et al. 2022,Piezoresistive,1,Surface,3,FDM,1,9,14,0.076923077,0.015384615,b,Carbon,1,a,FDM-b,Surface-a,10.3233/ATDE220178
Y. Nakahara et al. 2024,Piezoresistive,1,Material,1,FDM,1,-0.005,0.005,0.0006,0.06,b,Carbon,1,a,FDM-b,Material-a,10.1109/MEMS58180.2024.10439564
O. Emon et al. 2022,Piezoresistive,1,Surface,3,DIW,2,0,24,0.095,0.003958333,b,Carbon,1,b,DIW-b,Surface-b,10.1016/j.addlet.2022.100027
P. Wei et al. 2019,Piezoresistive,1,Material,1,DIW,2,0,20,2.3,0.115,b,Carbon,1,b,DIW-b,Material-b,10.1002/admt.201900315
O. Olowo et al. 2022,Piezoresistive,1,Material,1,AJP,4,0,1.6,0.0023,0.0014375,b,Metal,2,a,AJP-b,Material-a,10.1109/FLEPS53764.2022.9781498
Z. Pei et al. 2021,Piezoresistive,1,Porous,4,DLP,5,0,0.2,0.8,4,a,Carbon,1,b,DLP-a,Porous-b,10.1002/admt.202100038
M. Ntagios et al. 2020,Capacitance,2,Displacement,6,FDM,1,0,25,0.138062548,0.005522502,b,Metal,2,a,FDM-b,Displacement-a,10.1109/FLEPS49123.2020.9239587
X. Aeby et al. 2019,Capacitance,2,Displacement,6,FDM,1,0,50,0.043010753,0.000860215,b,Carbon,1,a,FDM-b,Displacement-a,10.1109/TRANSDUCERS.2019.8808268
Y. Chen et al. 2024 ,Capacitance,2,Displacement,6,DIW,2,0,0.4511,0.31,0.687209045,b,Other,5,b,DIW-b,Displacement-b,10.1016/j.nanoen.2024.109895
K. Fujimoto et al. 2020,Capacitance,2,Displacement,6,AJP,4,0,19000,-0.19,1.23457E-05,b,Metal,2,a,AJP-b,Displacement-a,10.1038/s41528-020-00095-4
Q. Jing et al. 2021,Capacitance,2,Displacement,6,AJP,4,0,9,0.847826087,0.094202899,b,Metal,2,b,AJP-b,Displacement-b,10.1016/j.xcrp.2021.100386
X. Zhou et al. 2023,Transistor,5,Other,8,AJP,4,0,0.4,0.75,1.875,b,Other,5,b,AJP-b,Other-b,10.1002/admt.202201272
Test 2025,Transistor,5,Other,8,FDM,1,0,1000,2000,2,b,Other,5,b,AJP-b,Other-b,10.1002/admt.202201272
