Reference,Ele principle,Ele Principle num,Sensing,Sensing num,Print,Print num,M0,M,Delta Er,Rel Sensitivity,Directly Printed,Mat,Mat num,Custom mat,Print concat,Sens concat,DOI
B. Li et al. 2022,Piezoresistive,1,Auxetic,2,FDM,1,0,0.15,1.30E-01,0.866666667,a,Carbon,1,b,FDM-a,Auxetic-b,10.1016/j.sna.2022.113526
D. Xiang et al. 2020,Piezoresistive,1,Material,1,FDM,1,0,0.3,9.55E+00,31.82,b,Carbon,1,b,FDM-b,Material-b,10.1007/s10853-020-05137-w
J. McGhee et al. 2018,Piezoresistive,1,Material,1,FDM,1,0,0.1,4.78E-01,4.782608696,b,Carbon,1,a,FDM-b,Material-a,10.1049/el.2018.0363
M. Al-Rubaiai et al. 2019,Piezoresistive,1,Material,1,FDM,1,0,0.02,-4.00E-01,33.33333333,b,Carbon,1,a,FDM-b,Material-a,10.1088/1361-665X/ab1fa9
R. Chirila et al. 2022,Piezoresistive,1,Material,1,FDM,1,0,0.167,4.00E-01,2.395209581,b,Carbon,1,a,FDM-b,Material-a,10.1109/FLEPS53764.2022.9781529
S. Mousavi et al. 2020,Piezoresistive,1,Porous,4,FDM,1,0,0.005,6.71E+00,1342,b,Carbon,1,b,FDM-b,Porous-b,10.1021/acsami.9b21816
S. Mousavi et al. 2022,Piezoresistive,1,Microcracks,5,FDM,1,0,0.97,1.47E+02,151.0309278,a,Carbon,1,b,FDM-a,Microcracks-b,10.1039/d2ta02064e
X. Chen et al. 2022,Piezoresistive,1,Material,1,FDM,1,0,0.5,5.76E+00,11.52,b,Carbon,1,b,FDM-b,Material-b,10.1016/j.matlet.2021.130935
Z. Li et al. 2021,Piezoresistive,1,Porous,4,FDM,1,0,-0.02,1.09E+00,54.58,b,Carbon,1,b,FDM-b,Porous-b,10.1088/1361-6528/ac0b1b
Z. Li et al. 2023,Piezoresistive,1,Porous,4,FDM,1,0,-0.6,9.60E-01,1.6,b,Carbon,1,b,FDM-b,Porous-b,10.1016/j.compscitech.2022.109803
Z. Zhang et al. 2022,Piezoresistive,1,Material,1,FDM,1,0,1.5,3.59E+01,23.93333333,b,Carbon,1,b,FDM-b,Material-b,10.1007/s10443-022-10017-4
C. Ma et al. 2023,Piezoresistive,1,Material,1,DIW,2,0,0.2,3.84E+02,1918.4,b,Carbon,1,b,DIW-b,Material-b,10.1016/j.jmapro.2023.01.008
J. Muth et al. 2014,Piezoresistive,1,Material,1,DIW,2,0,1,5.33E+00,5.333333333,b,Carbon,1,b,DIW-b,Material-b,10.1002/adma.201400334
